Date,red1,red2,red3,red4,red5,red6,blue
2021-07-01(四),1,6,18,22,24,25,8
2021-06-29(二),1,9,15,16,19,21,15
2021-06-27(日),1,7,24,31,32,33,8
2021-06-24(四),1,5,11,15,16,29,15
2021-06-22(二),6,11,18,20,23,26,5
2021-06-20(日),4,14,18,24,31,32,15
2021-06-17(四),1,11,19,23,25,29,9
2021-06-15(二),2,6,19,26,30,33,15
2021-06-13(日),1,4,8,19,29,33,16
2021-06-10(四),4,6,8,15,16,18,16
2021-06-08(二),4,5,6,9,23,24,9
2021-06-06(日),12,13,15,20,22,25,10
2021-06-03(四),4,9,12,18,20,23,1
2021-06-01(二),10,11,17,20,29,30,15
2021-05-30(日),1,9,11,18,32,33,14
2021-05-27(四),9,11,13,18,19,28,14
2021-05-25(二),5,6,9,17,25,33,16
2021-05-23(日),8,21,22,23,29,32,1
2021-05-20(四),3,11,12,16,22,28,10
2021-05-18(二),7,13,21,22,24,31,2
2021-05-16(日),7,10,14,16,24,33,16
2021-05-13(四),3,4,6,19,21,30,14
2021-05-11(二),8,9,10,19,27,29,15
2021-05-09(日),2,9,10,16,25,28,8
2021-05-06(四),4,11,13,22,25,32,1
2021-05-04(二),4,15,17,22,29,32,3
2021-05-02(日),3,7,13,16,24,29,1
2021-04-29(四),5,9,13,21,28,33,6
2021-04-27(二),1,4,14,15,17,32,2
2021-04-25(日),5,7,14,17,26,28,13
2021-04-22(四),2,3,17,18,23,24,1
2021-04-20(二),5,9,10,22,25,27,8
2021-04-18(日),2,9,18,23,26,32,14
2021-04-15(四),2,6,7,24,28,29,16
2021-04-13(二),2,8,21,24,29,31,13
2021-04-11(日),5,7,9,16,18,27,6
2021-04-08(四),13,17,19,24,26,30,12
2021-04-06(二),1,2,6,11,21,26,11
2021-04-04(日),12,14,18,20,26,28,11
2021-04-01(四),4,10,12,18,23,25,1
2021-03-30(二),2,12,13,14,31,33,6
2021-03-28(日),1,5,8,15,16,30,3
2021-03-25(四),6,11,21,25,28,31,7
2021-03-23(二),8,9,13,27,29,31,5
2021-03-21(日),8,10,15,17,22,30,12
2021-03-18(四),11,16,23,26,27,33,5
2021-03-16(二),5,7,9,16,20,26,8
2021-03-14(日),3,5,13,19,20,25,3
2021-03-11(四),6,8,14,17,18,30,11
2021-03-09(二),1,4,6,10,11,18,2
2021-03-07(日),2,21,22,23,27,28,11
2021-03-04(四),10,15,17,25,31,32,6
2021-03-02(二),4,8,17,24,28,33,13
2021-02-28(日),1,3,6,7,9,11,2
2021-02-25(四),12,16,17,24,28,29,8
2021-02-23(二),2,8,14,23,25,32,6
2021-02-21(日),9,15,18,29,32,33,2
2021-02-07(日),3,8,9,13,15,18,10
2021-02-04(四),6,14,16,26,28,29,7
2021-02-02(二),4,15,21,25,29,33,6
2021-01-31(日),6,9,12,16,27,31,6
2021-01-28(四),3,6,14,18,20,26,1
2021-01-26(二),5,10,16,23,27,33,14
2021-01-24(日),1,4,11,19,32,33,5
2021-01-21(四),2,4,7,24,25,32,13
2021-01-19(二),1,5,7,14,18,33,7
2021-01-17(日),2,4,12,21,25,32,16
2021-01-14(四),6,8,22,24,25,26,1
2021-01-12(二),7,9,14,26,30,31,4
2021-01-10(日),2,3,7,8,17,22,15
